filename,product_type,catalog_code
shoe_train_00.jpg,shoe,CAT-17
shoe_train_01.jpg,shoe,CAT-17
shoe_train_02.jpg,shoe,CAT-17
shoe_train_03.jpg,shoe,CAT-17
shoe_train_04.jpg,shoe,CAT-17
shoe_train_05.jpg,shoe,CAT-17
shoe_train_06.jpg,shoe,CAT-17
shoe_train_07.jpg,shoe,CAT-17
shoe_train_08.jpg,shoe,CAT-17
shoe_train_09.jpg,shoe,CAT-17
shoe_train_10.jpg,shoe,CAT-17
shoe_train_11.jpg,shoe,CAT-17
watch_train_00.jpg,watch,CAT-42
watch_train_01.jpg,watch,CAT-42
watch_train_02.jpg,watch,CAT-42
watch_train_03.jpg,watch,CAT-42
watch_train_04.jpg,watch,CAT-42
watch_train_05.jpg,watch,CAT-42
watch_train_06.jpg,watch,CAT-42
watch_train_07.jpg,watch,CAT-42
watch_train_08.jpg,watch,CAT-42
watch_train_09.jpg,watch,CAT-42
watch_train_10.jpg,watch,CAT-42
watch_train_11.jpg,watch,CAT-42
bag_train_00.jpg,bag,CAT-81
bag_train_01.jpg,bag,CAT-81
bag_train_02.jpg,bag,CAT-81
bag_train_03.jpg,bag,CAT-81
bag_train_04.jpg,bag,CAT-81
bag_train_05.jpg,bag,CAT-81
bag_train_06.jpg,bag,CAT-81
bag_train_07.jpg,bag,CAT-81
bag_train_08.jpg,bag,CAT-81
bag_train_09.jpg,bag,CAT-81
bag_train_10.jpg,bag,CAT-81
bag_train_11.jpg,bag,CAT-81
